started_at,ended_at,start_station_name,end_station_name,member_casual,rideable_type,trip_duration_min
2024-10-22 16:27:16.426,2024-10-22 16:48:18.048,State St & 29th St,Dorchester Ave & 49th St,member,electric_bike,21.027033333333335
2024-10-11 16:11:27.916,2024-10-11 16:32:26.024,Shedd Aquarium,Dusable Harbor,casual,electric_bike,20.968466666666664
2024-10-13 08:06:04.446,2024-10-13 08:26:58.113,Halsted St & Roosevelt Rd,Wells St & Randolph St,casual,electric_bike,20.89445
2024-10-16 18:42:23.835,2024-10-16 19:03:16.829,New St & Illinois St,Wells St & Concord Ln,member,classic_bike,20.883233333333333
2024-10-30 16:01:54.448,2024-10-30 16:22:45.802,,Damen Ave & Charleston St,member,electric_bike,20.855900000000002
2024-10-21 09:22:32.472,2024-10-21 09:43:21.619,Racine Ave & Wrightwood Ave,Clinton St & Washington Blvd,member,electric_bike,20.819116666666666
2024-10-03 18:53:05.557,2024-10-03 19:13:41.586,DuSable Lake Shore Dr & Wellington Ave,Carpenter St & Huron St,member,classic_bike,20.600483333333333
2024-10-27 18:34:00.295,2024-10-27 18:54:34.980,,Broadway & Thorndale Ave,member,electric_bike,20.578083333333332
2024-10-18 18:48:35.052,2024-10-18 19:08:59.516,Ashland Ave & Lake St,Damen Ave & Division St,member,classic_bike,20.407733333333333
2024-10-26 16:43:53.102,2024-10-26 17:04:13.275,May St & Taylor St,Sangamon St & Washington Blvd,casual,classic_bike,20.336216666666665
2024-10-18 16:06:18.450,2024-10-18 16:26:35.450,Fairbanks Ct & Grand Ave,Federal St & Polk St,member,classic_bike,20.283333333333335
2024-10-08 16:06:22.968,2024-10-08 16:26:37.454,Canal St & Madison St,Paulina Ave & North Ave,member,classic_bike,20.241433333333337
2024-10-09 17:30:59.615,2024-10-09 17:50:55.882,Wabash Ave & Grand Ave,Bissell St & Armitage Ave*,member,classic_bike,19.937783333333336
2024-10-14 08:16:49.961,2024-10-14 08:36:44.862,Wilton Ave & Diversey Pkwy*,,member,electric_bike,19.915016666666666
2024-10-05 16:59:18.093,2024-10-05 17:19:12.151,Troy St & Grace St,,member,electric_bike,19.900966666666665
2024-10-12 17:47:36.578,2024-10-12 18:07:25.455,Milwaukee Ave & Grand Ave,Racine Ave & Fullerton Ave,member,electric_bike,19.814616666666666
2024-10-02 16:33:17.381,2024-10-02 16:53:04.805,DuSable Lake Shore Dr & Diversey Pkwy,Lakefront Trail & Bryn Mawr Ave,member,classic_bike,19.790399999999998
2024-10-11 18:57:54.208,2024-10-11 19:17:35.694,Clark St & Schiller St,Theater on the Lake,member,classic_bike,19.691433333333336
2024-10-07 07:03:09.074,2024-10-07 07:22:48.326,Calumet Ave & 18th St,State St & Chicago Ave,member,electric_bike,19.6542
2024-10-24 16:57:20.184,2024-10-24 17:16:58.267,Clinton St & Washington Blvd,Lincoln Ave & Diversey Pkwy,member,electric_bike,19.63471666666667
2024-10-02 16:43:19.363,2024-10-02 17:02:57.203,DuSable Lake Shore Dr & Wellington Ave,State St & Randolph St,member,electric_bike,19.630666666666666
2024-10-11 08:06:42.926,2024-10-11 08:26:15.754,Southport Ave & Clark St,Wells St & Concord Ln,member,electric_bike,19.54713333333333
2024-10-03 17:23:34.159,2024-10-03 17:43:05.577,DuSable Lake Shore Dr & Monroe St,Clinton St & Jackson Blvd,casual,classic_bike,19.523633333333333
2024-10-11 17:27:47.469,2024-10-11 17:47:15.932,Green St & Madison St,Emerald Ave & 31st St,member,classic_bike,19.474383333333332
2024-10-07 17:11:38.618,2024-10-07 17:30:57.142,Clinton St & Washington Blvd,Southport Ave & Belmont Ave,member,electric_bike,19.308733333333333
2024-10-04 09:47:43.708,2024-10-04 10:07:01.459,DuSable Lake Shore Dr & Monroe St,Field Museum,casual,electric_bike,19.295849999999998
2024-10-10 09:23:57.671,2024-10-10 09:43:07.128,Sacramento Ave & 25th St,Morgan St & Polk St,member,electric_bike,19.15761666666667
2024-10-18 09:08:50.430,2024-10-18 09:27:55.063,Albany Ave & Bloomingdale Ave,Mies van der Rohe Way & Chicago Ave,member,electric_bike,19.07721666666667
2024-10-06 17:36:15.503,2024-10-06 17:55:15.417,Lincoln Ave & Sunnyside Ave,Sheffield Ave & Wellington Ave,casual,classic_bike,18.998566666666665
2024-10-01 17:53:19.507,2024-10-01 18:12:17.878,Lakefront Trail & Wilson Ave,Lakefront Trail & Wilson Ave,member,classic_bike,18.97285
2024-10-03 17:18:12.853,2024-10-03 17:37:05.960,DuSable Lake Shore Dr & Wellington Ave,,member,electric_bike,18.885116666666665
2024-10-21 17:17:47.637,2024-10-21 17:36:30.884,Buckingham Fountain,Michigan Ave & Lake St,casual,classic_bike,18.720783333333333
2024-10-01 09:05:55.386,2024-10-01 09:24:34.556,DuSable Lake Shore Dr & Wellington Ave,Green St & Washington Blvd,member,electric_bike,18.652833333333334
2024-10-01 18:20:11.382,2024-10-01 18:38:47.822,DuSable Lake Shore Dr & Wellington Ave,,casual,electric_bike,18.607333333333333
2024-10-11 17:40:17.204,2024-10-11 17:58:52.206,Dearborn St & Monroe St,Halsted St & Clybourn Ave,member,classic_bike,18.583366666666667
2024-10-24 07:54:07.298,2024-10-24 08:12:40.829,California Ave & Cortez St,Canal St & Jackson Blvd,member,electric_bike,18.55885
2024-10-03 17:17:58.799,2024-10-03 17:36:29.700,DuSable Lake Shore Dr & Monroe St,Indiana Ave & Roosevelt Rd,casual,classic_bike,18.515016666666668
2024-10-23 17:40:10.522,2024-10-23 17:58:39.025,LaSalle Dr & Huron St,Wilton Ave & Diversey Pkwy,casual,classic_bike,18.47505
2024-10-26 16:44:32.371,2024-10-26 17:02:59.525,DuSable Lake Shore Dr & North Blvd,Millennium Park,casual,classic_bike,18.452566666666666
2024-10-20 18:32:29.022,2024-10-20 18:50:54.695,Clark St & Bryn Mawr Ave,Sheridan Rd & Loyola Ave,casual,electric_bike,18.427883333333334
2024-10-23 08:31:03.445,2024-10-23 08:49:26.670,,Clinton St & Jackson Blvd,member,electric_bike,18.387083333333333
2024-10-11 17:26:31.963,2024-10-11 17:44:51.802,Michigan Ave & Lake St,,member,electric_bike,18.33065
2024-10-05 16:10:26.457,2024-10-05 16:28:45.700,,Halsted St & Roscoe St,member,electric_bike,18.320716666666666
2024-10-08 18:02:47.225,2024-10-08 18:21:04.360,Indiana Ave & Roosevelt Rd,Field Blvd & South Water St,member,classic_bike,18.28558333333333
2024-10-05 16:12:10.336,2024-10-05 16:30:27.309,Dusable Harbor,Indiana Ave & Roosevelt Rd,casual,classic_bike,18.282883333333334
2024-10-10 17:18:25.598,2024-10-10 17:36:36.506,Southport Ave & Belmont Ave,,member,electric_bike,18.1818
2024-10-11 18:10:59.115,2024-10-11 18:29:08.742,Leavitt St & Lawrence Ave,Montrose Harbor,casual,classic_bike,18.16045
2024-10-22 17:47:40.780,2024-10-22 18:05:48.857,Larrabee St & Oak St,Clark St & Wrightwood Ave,member,classic_bike,18.134616666666666
2024-10-05 16:45:39.398,2024-10-05 17:03:46.786,LaSalle St & Washington St,Mies van der Rohe Way & Chicago Ave,member,classic_bike,18.12313333333333
2024-10-23 18:36:45.684,2024-10-23 18:54:46.724,Leavitt St & Armitage Ave,Wells St & Huron St,member,electric_bike,18.017333333333333
2024-10-04 16:12:23.886,2024-10-04 16:30:24.166,DuSable Lake Shore Dr & North Blvd,DuSable Lake Shore Dr & Monroe St,casual,electric_bike,18.004666666666665
2024-10-01 16:35:36.605,2024-10-01 16:53:32.790,DuSable Lake Shore Dr & North Blvd,Sheffield Ave & Fullerton Ave,casual,classic_bike,17.936416666666666
2024-10-23 16:05:13.135,2024-10-23 16:22:58.809,Wabash Ave & 9th St,Wentworth Ave & Cermak Rd,casual,classic_bike,17.761233333333333
2024-10-09 17:26:35.744,2024-10-09 17:44:20.087,,Pine Grove Ave & Irving Park Rd,member,electric_bike,17.739050000000002
2024-10-21 16:26:31.157,2024-10-21 16:44:13.531,Racine Ave & 35th St,Racine Ave & 35th St,casual,classic_bike,17.706233333333333
2024-10-01 09:37:27.747,2024-10-01 09:55:07.116,Lakefront Trail & Bryn Mawr Ave,Pine Grove Ave & Waveland Ave,member,classic_bike,17.65615
2024-10-20 16:59:46.190,2024-10-20 17:17:25.003,Clarendon Ave & Gordon Ter,Lakefront Trail & Bryn Mawr Ave,member,classic_bike,17.646883333333335
2024-10-14 17:27:06.089,2024-10-14 17:44:44.117,Wabash Ave & Grand Ave,DuSable Lake Shore Dr & Diversey Pkwy,casual,electric_bike,17.6338
2024-10-06 18:02:05.475,2024-10-06 18:19:35.473,Clark St & Winnemac Ave,Damen Ave & Leland Ave,member,classic_bike,17.49996666666667
2024-10-02 09:06:52.170,2024-10-02 09:24:16.112,DuSable Lake Shore Dr & North Blvd,,member,electric_bike,17.399033333333332
2024-10-31 17:25:12.037,2024-10-31 17:42:25.682,Halsted St & Willow St,Wells St & Huron St,member,classic_bike,17.227416666666667
2024-10-06 08:24:01.963,2024-10-06 08:41:14.609,Damen Ave & Cortland St,Talman Ave & Addison St,member,classic_bike,17.210766666666665
2024-10-21 16:43:28.480,2024-10-21 17:00:38.182,Racine Ave & Fullerton Ave,Wells St & Evergreen Ave,member,classic_bike,17.1617
2024-10-19 16:08:33.932,2024-10-19 16:25:43.397,University Ave & 57th St,University Ave & 57th St,casual,classic_bike,17.15775
2024-10-21 16:16:17.399,2024-10-21 16:33:24.527,Clark St & Lake St,DuSable Lake Shore Dr & Belmont Ave,member,electric_bike,17.1188
2024-10-20 08:47:48.501,2024-10-20 09:04:53.529,Southport Ave & Waveland Ave,,member,electric_bike,17.0838
2024-10-11 16:12:11.654,2024-10-11 16:29:12.941,Bissell St & Armitage Ave*,Southport Ave & Clybourn Ave,member,classic_bike,17.02145
2024-10-02 07:37:03.140,2024-10-02 07:54:03.793,DuSable Lake Shore Dr & Monroe St,Indiana Ave & Roosevelt Rd,member,classic_bike,17.010883333333332
2024-10-03 18:32:20.088,2024-10-03 18:49:13.066,DuSable Lake Shore Dr & Diversey Pkwy,Michigan Ave & Oak St,casual,electric_bike,16.882966666666665
2024-10-21 16:40:47.190,2024-10-21 16:57:38.766,Columbus Dr & Randolph St,Peoria St & Jackson Blvd,member,classic_bike,16.8596
2024-10-26 17:03:25.957,2024-10-26 17:20:14.513,,Christiana Ave & Lawrence Ave,member,electric_bike,16.809266666666666
2024-10-19 16:55:14.626,2024-10-19 17:12:02.879,Calumet Ave & 18th St,Canal St & Madison St,member,classic_bike,16.80421666666667
2024-10-14 17:59:11.044,2024-10-14 18:15:58.509,Adler Planetarium,Michigan Ave & Ida B Wells Dr,casual,classic_bike,16.791083333333333
2024-10-04 17:19:05.404,2024-10-04 17:35:45.660,DuSable Lake Shore Dr & Diversey Pkwy,Dearborn Pkwy & Delaware Pl,member,classic_bike,16.670933333333334
2024-10-22 18:42:40.434,2024-10-22 18:59:20.387,Sheridan Rd & Lawrence Ave,Clark St & Winnemac Ave,member,classic_bike,16.665883333333333
2024-10-17 17:01:02.133,2024-10-17 17:17:41.204,Michigan Ave & Jackson Blvd,Clinton St & Polk St,casual,classic_bike,16.651183333333332
2024-10-21 18:24:36.747,2024-10-21 18:41:15.056,Daley Center Plaza,Rush St & Cedar St,casual,electric_bike,16.638483333333333
2024-10-25 18:21:13.743,2024-10-25 18:37:51.701,Wood St & Milwaukee Ave,Paulina St & Flournoy St,casual,electric_bike,16.632633333333334
2024-10-28 17:31:55.259,2024-10-28 17:48:32.905,,DuSable Lake Shore Dr & Diversey Pkwy,member,electric_bike,16.627433333333332
2024-10-25 16:06:04.449,2024-10-25 16:22:41.375,May St & Cullerton St,Financial Pl & Ida B Wells Dr,member,classic_bike,16.615433333333335
2024-10-09 17:48:32.315,2024-10-09 18:05:04.296,Clinton St & Jackson Blvd,Rush St & Hubbard St,member,classic_bike,16.533016666666665
2024-10-06 18:17:35.708,2024-10-06 18:34:05.704,DuSable Lake Shore Dr & Belmont Ave,Michigan Ave & Oak St,member,classic_bike,16.499933333333335
2024-10-23 07:07:51.062,2024-10-23 07:24:16.123,Southport Ave & Wellington Ave,Orleans St & Merchandise Mart Plaza,casual,electric_bike,16.417683333333333
2024-10-03 08:26:12.306,2024-10-03 08:42:27.750,DuSable Lake Shore Dr & Wellington Ave,McClurg Ct & Erie St,member,electric_bike,16.2574
2024-10-25 18:43:01.862,2024-10-25 18:59:16.114,Ashland Ave & Division St,Humboldt Blvd & Armitage Ave,member,classic_bike,16.23753333333333
2024-10-25 17:32:42.253,2024-10-25 17:48:54.947,Lincoln Ave & Roscoe St*,Dayton St & North Ave,member,classic_bike,16.211566666666666
2024-10-08 17:35:49.748,2024-10-08 17:51:59.711,Clark St & Touhy Ave,Clark St & Winnemac Ave,casual,electric_bike,16.16605
2024-10-08 17:54:09.356,2024-10-08 18:10:19.254,Wells St & Huron St,Aberdeen St & Randolph St,casual,classic_bike,16.16496666666667
2024-10-29 16:04:27.090,2024-10-29 16:20:34.083,Larrabee St & Webster Ave,Canal St & Adams St,member,electric_bike,16.11655
2024-10-18 16:08:36.693,2024-10-18 16:24:42.657,Western Ave & Granville Ave,Lincoln Ave & Sunnyside Ave,casual,classic_bike,16.0994
2024-10-20 16:42:13.974,2024-10-20 16:58:19.902,Wabash Ave & Roosevelt Rd,Morgan Ave & 14th Pl,casual,electric_bike,16.0988
2024-10-09 18:17:54.135,2024-10-09 18:33:59.539,Clark St & Berwyn Ave,,member,electric_bike,16.090066666666665
2024-10-04 08:59:37.314,2024-10-04 09:15:39.382,DuSable Lake Shore Dr & Diversey Pkwy,,member,electric_bike,16.034466666666667
2024-10-28 17:58:01.176,2024-10-28 18:13:59.659,Clark St & Wrightwood Ave,,member,electric_bike,15.974716666666666
2024-10-11 17:23:19.953,2024-10-11 17:39:17.576,Lakeview Ave & Fullerton Pkwy,Streeter Dr/Grand Ave,member,electric_bike,15.960383333333334
2024-10-31 16:22:01.068,2024-10-31 16:37:55.023,Kingsbury St & Kinzie St,,casual,electric_bike,15.89925
2024-10-05 17:52:34.274,2024-10-05 18:08:27.836,,DuSable Lake Shore Dr & Wellington Ave,casual,electric_bike,15.8927
2024-10-09 07:08:46.303,2024-10-09 07:24:37.972,,Clinton St & Washington Blvd,member,electric_bike,15.86115
2024-10-23 07:29:11.394,2024-10-23 07:44:58.481,Stockton Dr & Wrightwood Ave,Franklin St & Jackson Blvd,member,electric_bike,15.784783333333333
2024-10-25 16:20:06.052,2024-10-25 16:35:51.060,Bernard St & Elston Ave,Damen Ave & Clybourn Ave,member,classic_bike,15.750133333333334
2024-10-12 16:29:49.358,2024-10-12 16:45:28.231,Clark St & Lincoln Ave,,casual,electric_bike,15.647883333333334
2024-10-28 18:16:25.700,2024-10-28 18:31:59.024,Desplaines St & Jackson Blvd,Michigan Ave & 14th St,member,classic_bike,15.555399999999999
2024-10-25 17:23:50.261,2024-10-25 17:39:23.253,Damen Ave & Thomas St (Augusta Blvd),Wood St & Hubbard St,casual,classic_bike,15.549866666666667
2024-10-10 07:00:07.714,2024-10-10 07:15:36.654,LaSalle St & Jackson Blvd,Michigan Ave & Oak St,member,classic_bike,15.482333333333335
2024-10-19 16:04:03.272,2024-10-19 16:19:32.059,Wells St & Evergreen Ave,Aberdeen St & Monroe St,member,electric_bike,15.479783333333334
2024-10-10 08:48:52.317,2024-10-10 09:04:18.862,Damen Ave & Division St,Desplaines St & Jackson Blvd,member,electric_bike,15.442416666666666
2024-10-09 08:31:20.614,2024-10-09 08:46:46.336,,Mies van der Rohe Way & Chicago Ave,member,electric_bike,15.4287
2024-10-12 08:28:01.551,2024-10-12 08:43:26.233,Damen Ave & Thomas St (Augusta Blvd),Damen Ave & Wellington Ave,member,classic_bike,15.411366666666668
2024-10-22 17:58:18.178,2024-10-22 18:13:42.047,Leavitt St & Belmont Ave,Lincoln Ave & Fullerton Ave,member,electric_bike,15.397816666666667
2024-10-24 18:22:32.907,2024-10-24 18:37:56.294,Franklin St & Lake St,Franklin St & Jackson Blvd,casual,classic_bike,15.389783333333332
2024-10-29 18:59:43.176,2024-10-29 19:15:05.160,Aberdeen St & Randolph St,,member,electric_bike,15.3664
2024-10-17 17:08:01.017,2024-10-17 17:23:22.714,Broadway & Belmont Ave,Paulina Ave & North Ave,casual,electric_bike,15.361616666666666
2024-10-23 17:46:22.281,2024-10-23 18:01:43.921,Fort Dearborn Dr & 31st St,Wentworth Ave & 24th St,casual,electric_bike,15.360666666666667
2024-10-11 08:11:00.096,2024-10-11 08:26:21.483,Dearborn St & Adams St,Mies van der Rohe Way & Chestnut St,member,classic_bike,15.356449999999999
2024-10-05 17:43:17.257,2024-10-05 17:58:38.093,Elston Ave & Cortland St,Damen Ave & Grand Ave,member,electric_bike,15.347266666666666
2024-10-11 16:11:59.006,2024-10-11 16:27:19.361,DuSable Lake Shore Dr & Monroe St,Streeter Dr & Grand Ave,casual,classic_bike,15.33925
2024-10-25 18:00:38.138,2024-10-25 18:15:57.700,Clinton St & Madison St,State St & Kinzie St,casual,classic_bike,15.326033333333333
2024-10-13 17:07:38.095,2024-10-13 17:22:54.375,Ashland Ave & Wellington Ave,Western Ave & Walton St,member,electric_bike,15.271333333333333
2024-10-04 17:51:03.166,2024-10-04 18:06:14.174,DuSable Lake Shore Dr & Belmont Ave,Southport Ave & Clybourn Ave,member,electric_bike,15.183466666666668
2024-10-31 16:38:50.862,2024-10-31 16:53:55.741,,Clinton St & 18th St,casual,electric_bike,15.081316666666668
2024-10-04 18:57:21.334,2024-10-04 19:12:23.516,Southport Ave & Belmont Ave,Lakeview Ave & Fullerton Pkwy,member,classic_bike,15.036366666666668
